invoice_line_id,invoice_id,invoice_number,invoice_date,grade,standard_code,application,target_method_id,requested_qty_mt,lot_no,available_qty_mt,fit_de_to_target,fit_band,candidate_rank,single_lot_can_cover
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6764-B,5.0,0.13,excellent,1,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6767A,10.0,0.269,excellent,2,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6823N-C,5.0,0.269,excellent,3,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6768A,5.0,0.284,excellent,4,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6764-A,10.0,0.297,excellent,5,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6782A,10.0,0.297,excellent,6,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6781A,10.0,0.309,excellent,7,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6781B,2.0,0.311,excellent,8,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6785A,10.0,0.323,excellent,9,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6823N-D,5.0,0.342,excellent,10,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6824N-A,5.0,0.363,excellent,11,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6822N-C,5.0,0.369,excellent,12,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6767B,10.0,0.371,excellent,13,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6828N-A,5.0,0.371,excellent,14,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6770A,10.0,0.387,excellent,15,True
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,Paint,method_i_b,2.0,6784B,7.0,0.396,excellent,16,True
