invoice_line_id,invoice_id,invoice_number,invoice_date,grade,standard_code,application,target_method_id,requested_qty_mt,lot_no,available_qty_mt,fit_de_to_target,fit_band,candidate_rank,single_lot_can_cover
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6788A,10.0,0.017,excellent,1,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6787B,7.0,0.07,excellent,2,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6797B,7.0,0.082,excellent,3,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6797A,10.0,0.09,excellent,4,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6787A,10.0,0.101,excellent,5,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6796B,8.0,0.197,excellent,6,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6788B,10.0,0.271,excellent,7,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6796A,10.0,0.331,excellent,8,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6803B,5.0,0.429,excellent,9,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6802A,10.0,0.526,excellent,10,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6801B,4.0,0.59,excellent,11,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6803A,10.0,0.611,strict,12,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6822N-A,5.0,0.661,strict,13,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6833B,10.0,0.708,strict,14,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6833A,10.0,0.77,strict,15,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6802B,10.0,0.827,strict,16,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6548A,4.0,0.833,strict,17,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6832B,6.0,0.897,strict,18,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6789A,10.0,0.899,strict,19,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6801A,10.0,0.915,strict,20,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6832A,10.0,0.923,strict,21,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6719N-D,5.0,0.961,strict,22,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6789B,10.0,1.026,relaxed,23,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6770B,10.0,1.095,relaxed,24,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6528A,10.0,1.236,relaxed,25,True
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,Paint,method_i_b,3.0,6823N-B,5.0,1.393,relaxed,26,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6764-B,5.0,0.13,excellent,1,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6767A,10.0,0.269,excellent,2,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6823N-C,5.0,0.269,excellent,3,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6768A,5.0,0.284,excellent,4,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6764-A,10.0,0.297,excellent,5,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6782A,10.0,0.297,excellent,6,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6781A,10.0,0.309,excellent,7,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6781B,2.0,0.311,excellent,8,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6785A,10.0,0.323,excellent,9,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6823N-D,5.0,0.342,excellent,10,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6824N-A,5.0,0.363,excellent,11,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6822N-C,5.0,0.369,excellent,12,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6767B,10.0,0.371,excellent,13,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6828N-A,5.0,0.371,excellent,14,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6770A,10.0,0.387,excellent,15,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6784B,7.0,0.396,excellent,16,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6784A,10.0,0.415,excellent,17,True
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,Paint,method_i_b,0.75,6828N-D,5.0,0.446,excellent,18,True
